FDA Handle,FDA Upload Date,Omeka Link,Source,Confirmed/processed,Original Filename,Filename,File size,OCLC,Monograph/Serial,Type,Title (Latin original or Romanized),Title (original script),Title (Georgian Romanized),Title (Russian script),Title (Russian romanized),Author (romanized or Latin-script original),Author (Original Script),Author (Georgian romanized),Author's date of death,Place of publication (romanized),Publishers (Georgian romanized),Publishers (romanized),DSCC publisher number,Date,# of pages,Series (romanized),Series/Serial numbering,Geographic region,Subject,Summary,Online version,Rights information,Notes,Additional Author 1,Additional Author 2,Additional Author 3,Additional Author 4,Additional Author 5,Additional Author 6,Additional Author 7,Additional Author 8,Additional Author 9,Additional Author 10,Series 2,Series 3,Language,Geospatial Data,Upload
http://hdl.handle.net/2451/60940,Yes,,,,The Earlier Period Kurgans in Georgia (2015).pdf,dscc_000032.pdf,22.7 MB,,,book,The Earlier Period Kurgans in Georgia,ადრეული ყორღანები საქართველოში,,,,"Orjonikidze, Alexander.","ორჯონიკიძე, ალექსანდრე.",,,Tbilisi,,Georgian National Museum,,2015,170,,,Georgia (nation),Georgia (Republic)--History; Excavations (Archaeology)--Georgia (Republic),,,"The Georgian National Museum has granted permission to the Institute for the Study of the Ancient World of New York University to publish this material electronically in the Digital South Caucasus Collection (DSCC). We are making such material available on a noncommercial basis for research and educational purposes, in an effort to expand access to thinly-held and/or out-of-print material related to the study of the ancient world to the widest possible audience. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use (Title 17 U.S.C. Section 107), you must obtain permission from The Georgian National Museum. We respect the intellectual property rights of others. If you believe that you own the copyright to the material made available on this site, please see our takedown policy: http://dcaa.hosting.nyu.edu/dscc/takedown-notice.",,,,,,,,,,,,,,Georgian,http://vocab.getty.edu/page/tgn/7006653,1.0
,,,,,The Eneolithic and Broze Age sites Uncovered at confluence of the Mtkvari and Aragvi Rivers (2007).pdf,,15.4 MB,,monograph,book,The Eneolithic and Broze Age sites Uncovered at confluence of the Mtkvari and Aragvi Rivers,,,,,"Gligvashvili, E.; Kakhiani, K.; Sadradze, T.; Sadradze, V.",,,,,,,,2007,83,,,Georgia,"Bronze age--Caucasus, South; Georgia (Republic)--History",,,,,,,,,,,,,,,,,,,
,,,,,The Grapevine Culture in Georgia on Basis of Paleobotanical Data (2010).pdf,,9.6 MB,,,,The Grapevine Culture in Georgia on Basis of Paleobotanical Data,,,,,"Rusishvili, N.",,,,,,,,2010,40,,,,,,,,,,,,,,,,,,,,,,,
,,,,,The Kura-Araxes settlement Tsikhiagora (1994).pdf,,22.6 MB,,monograph,book,The Kura-Araxes settlement Tsikhiagora,,,,,"Makharadze, Z.",,,,Tbilisi,,,,1994,94,,,Caucasus,Kura-Araxes culture,,,,,,,,,,,,,,,,,,,
,,,,,The Latest archeological discoveries in Svaneti (2015).pdf,,1006.6 KB,,,,The Latest archeological discoveries in Svaneti,,,,,"Jibladze, L.; Kvitsiani, Z.",,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,
,,,,,The relationship between the Caucasus and the Middle East during the “pre-Kura-Araxes” period (2013).pdf,,303.6 KB,861181066,monograph,book,The relationship between the Caucasus and the Middle East during the “pre-Kura-Araxes” period,,,,,"Kavtaradze, G.",,,,Tbilisi,,Tbilisi State University,,2013,13,,,"Caucasus, Middle East",Maikop culture; Conference proceedings,,,,,,,,,,,,,,,,,,,
,,,,,"The Stratigraphy, Chronology and Periodisation of Colchian Plain Bronze Age Settlements (1997).pdf",,22.5 MB,,monograph,book,"The Stratigraphy, Chronology and Periodisation of Colchian Plain Bronze Age Settlements",,,,,"Jibladze, L.",,,,,,,,1997,86,,,Georgia,Land settlement; Bronze age--Caucasus,,,,,,,,,,,,,,,,,,,
,,,,,The Urartean Monuments in the Georgian Museum Tbilissi (1939).pdf,,26.2 MB,37575089,,book,The Urartean Monuments in the Georgian Museum Tbilissi,,,,,"Tseretheli, G.",,,,Tbilisi,,Publication of the Georgian Branch of the Academy of Sciences of the USSR,,1939,113,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Towards the Origin of One Group of Pottery from Colchian Holland (Early and Middle Bronze Age) (1998).pdf,,2.1 MB,,monograph,book,Towards the Origin of One Group of Pottery from Colchian Holland (Early and Middle Bronze Age),,,,,"Jibladze, L.",,,,,,,,1998,9,,,"Georgia, Holland","Pottery, Georgian (South Caucasian); Bronze age--Caucasus",,,,,,,,,,,,,,,,,,,
,,,,,Trade and Trade Roads between South Caucasus and Near East (3rd-2nd Millenniums B.C.) (2016).pdf,,12.2 MB,,monograph,book,Trade and Trade Roads between South Caucasus and Near East (3rd-2nd Millenniums B.C.),,,,,"Narimanishvili, G.; Narimanishvili, G.; Shanshashvili, N",,,,Tbilisi,,,,2016,284,,,South Caucasus,"Caucasus, South; Trade routes",,,,,,,,,,,,,,,,,,,
,,,,,Transcaucasia and the Problem of the Uruk Cultural Phenomenon (2014).pdf,,250.6 KB,892468688,monograph,"essay, book",Transcaucasia and the Problem of the Uruk Cultural Phenomenon,,,,,"Kavtaradze, G.",,,,Instanbul,,Ege Yayınlari,,2014,15,,,Transcaucasia,Kura-Araxes culture; Uruk culture,,,,,,,,,,,,,,,,,,,
,,,,,Urban Development in Central Transcaucas (2011)(1).pdf,,1.6 MB,,,article,Urban Development in Central Transcaucas,,,,,"Licheli, V.",,,,,,Brill,,2011,22,Ancient Civilizations from Scythia to Siberia,"17, no. 1",,,,,,,,,,,,,,,,,,,,,
TBA,Yes,,,,Wine-Making in Antiquity in the light of evidence from excavations at Samtskhe (2010).pdf,dscc_000033.pdf,4.4 MB,718341797,,book,Wine-Making in Antiquity in the light of evidence from excavations at Samtskhe,,,,,"Ličʻeli, Vaxtang",,,,Tbilisi,,Georgian National Museum,,2010,14,,,Georgia (nation),Wine and wine making,,,"The Georgian National Museum has granted permission to the Institute for the Study of the Ancient World of New York University to publish this material electronically in the Digital South Caucasus Collection (DSCC). We are making such material available on a noncommercial basis for research and educational purposes, in an effort to expand access to thinly-held and/or out-of-print material related to the study of the ancient world to the widest possible audience. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use (Title 17 U.S.C. Section 107), you must obtain permission from The Georgian National Museum. We respect the intellectual property rights of others. If you believe that you own the copyright to the material made available on this site, please see our takedown policy: http://dcaa.hosting.nyu.edu/dscc/takedown-notice.",OCLC number for alternate version 1040091009,"Rcheulishvili, Giorgi.",,,,,,,,,,,,English,http://vocab.getty.edu/page/tgn/7006653,1.0
,,,,,The Earliest inhabitants of the Caucasus and Hominid dispersals at Eurasia (2010).pdf,,26.2 MB,750798093,,book,The Earliest inhabitants of the Caucasus and Hominid dispersals at Eurasia,,,,,"Schelinsky, V.E.; Vasilev S.A.",,,,Sankt-Peterburg,,Peterburgskoe Vostokovedenie,,2010,273,,,Caucasus (general region),Caucasus--History,,,,,,,,,,,,,,,,,,http://vocab.getty.edu/page/tgn/7016642,
,,,,,The Most Ancient Caucasus_ A Crossroad of Europe and Asia (2013).pdf,,37 MB,883190796,,book,The Most Ancient Caucasus: A Crossroad of Europe and Asia,,,,,"Larionova, A.V.; Vasilev S.A.",,,,Sankt-Peterburg,,Institut istorii materialʹnoĭ kulʹtury RAN,,2013,166,,,Caucasus (general region),Caucasus--History,,,,,,,,,,,,,,,,,,http://vocab.getty.edu/page/tgn/7016642,
,,,,,The eneolithic settlement of the cave Sagvarjile (2003).pdf,,3.2 MB,,,,The eneolithic settlement of the cave Sagvarjile,,,,,"Nebieridze, L.",,,,,,,,2003,202,,,,,,,,,,,,,,,,,,,,,,,
,,,,,The early agricultural culture of the Iori-Alazani basin (1992).pdf,,19.4 MB,,,book,The early agricultural culture of the Iori-Alazani basin,,,,,"Varazashvili, V.",,,,Tbilisi,,Metsniereba,,1992,93,,,Caucasus (general region),"Agriculture, Ancient; Caucasus--History",,,,,,,,,,,,,,,,,,http://vocab.getty.edu/page/tgn/7016642,
,,,,,Emergence of Kurgan (2012).pdf,,12.7 MB,826863096,,book,Emergence of Kurgan,,,,,"Korenevskiy, S.N.",,,,"Таус, Moskva ",,Taus,,2012,249,,,Caucasus (general region),"Caucasus, Northern (Russia) -- Antiquities; Don River Region (Russia) -- Antiquities; Copper age -- Russia (Federation) -- Caucasus, Northern.",,,,,,,,,,,,,,,,,,http://vocab.getty.edu/page/tgn/7016642,
,,,,,Settlements of the early farming period culture explored by vemo Kartli (Arukhlo) achaeological expedition (1966-1988) (2015).pdf,,19 MB,,,book,Settlements of the early farming period culture explored by vemo Kartli (Arukhlo) achaeological expedition (1966-1988) ,,,,,"Abuladze, J.; Chikovani, G.; Zhvania, D.",,,,Tbilisi,,,,2015,184,,,Caucasus (general region),"Agriculture, Ancient; Caucasus--History",,,,,,,,,,,,,,,,,,http://vocab.getty.edu/page/tgn/7016642,
,,,,,"Gadachrili Gora_ Architecture and organisation of a Neolithic settlement in the middle Kura Valley (6th millennium BC, Georgia) (2016).pdf",,11.6 MB,,,article,"Gadachrili Gora: Architecture and organisation of a Neolithic settlement in the middle Kura Valley (6th millennium BC, Georgia)",,,,,"Agapishvili, T.; Baudouin, E.; Hamon, C.; Jalabadze, M.; Koridze, I.; Messager, E.",,,,Oxford,,Elsevier,,2016,16,,,Caucasus (general region),Architecture; Neolithic period,,,,,,,,,,,,,,,,,,http://vocab.getty.edu/page/tgn/7016642,
,,,,,A Middle Bronze Age burial at Atsquri (2008).pdf,,6.6 MB,67346412,,book,A Middle Bronze Age burial at Atsquri,,,,,"Licheli, V.",,,,Leuven,,Peeters,,2008,26,,,Georgia (nation),Georgia (Republic) -- Antiquities; Excavations (Archaeology) -- Georgia (Republic) Bronze age -- Georgia (Republic),,,,,,,,,,,,,,,,,,http://vocab.getty.edu/page/tgn/7006653,0.0
,,,,,Archaeological Sites of Mtskheta and Its adjacent Suberbs 2nd mil. B.C. - First half of the 1st mil. B.C. (2002).pdf,,44.8 MB,,,,Archaeological Sites of Mtskheta and Its adjacent Suberbs 2nd mil. B.C. - First half of the 1st mil. B.C.,,,,,"Sadradze, V.",,,,,,,,2002,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Archaeological Excavations in Trialeti (1969).pdf,,24.1 MB,,,,Archaeological Excavations in Trialeti,,,,,"Japaridze, O.",,,,,,,,1969,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Transcaucasian Rapiers and the Problem of their Origin (2001).pdf,,9.8 MB,,,,Transcaucasian Rapiers and the Problem of their Origin,,,,,"Abramishvili, M.",,,,,,,,2001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Phrygian fibulae in Transcaucasia_ Their diffusion route (1994).pdf,,3.1 MB,,,,Phrygian fibulae in Transcaucasia: Their diffusion route,,,,,"Licheli, V.",,,,,,,,1994,,,,,,,,,,,,,,,,,,,,,,,,
TBA,Yes,,,,Trialeti in the 15th and 14th centuries BC.pdf,dscc_000034.pdf,22.5 MB,718341797,,book,Trialeti in the 15th and 14th centuries BC,,,,,"Narimanishvili, G. K. (Goderdzi Karamanovich)",,,,Tbilisi,,Georgian National Museum,,2010,58,,,Georgia (nation),Excavations (Archaeology)--Georgia,,,"The Georgian National Museum has granted permission to the Institute for the Study of the Ancient World of New York University to publish this material electronically in the Digital South Caucasus Collection (DSCC). We are making such material available on a noncommercial basis for research and educational purposes, in an effort to expand access to thinly-held and/or out-of-print material related to the study of the ancient world to the widest possible audience. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use (Title 17 U.S.C. Section 107), you must obtain permission from The Georgian National Museum. We respect the intellectual property rights of others. If you believe that you own the copyright to the material made available on this site, please see our takedown policy: http://dcaa.hosting.nyu.edu/dscc/takedown-notice.",OCLC number for alternate version 1040091009,,,,,,,,,,,,,English,http://vocab.getty.edu/page/tgn/7006653,1.0
,,,,,Investigations in the history of the ancient population of Colchis and of the south-west Black Sea littoral (1974).pdf,,45.3 MB,,,,Investigations in the history of the ancient population of Colchis and of the south-west Black Sea littoral ,,,,,"Mikeladze, T.",,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,
TBA,Yes,,,,The Caucasian Fibulae (2011).pdf,dscc_000035.pdf,11.7 MB,863612220,,book,The Caucasian Fibulae,კავკასიის ფიბულები,,,,"Sulava, Nino",,,,Tbilisi,,Georgian National Museum,,2011,399,,,Caucasus (general region),Fibulas (Jewelry); Caucasus--Antiquities,,,"The Georgian National Museum has granted permission to the Institute for the Study of the Ancient World of New York University to publish this material electronically in the Digital South Caucasus Collection (DSCC). We are making such material available on a noncommercial basis for research and educational purposes, in an effort to expand access to thinly-held and/or out-of-print material related to the study of the ancient world to the widest possible audience. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use (Title 17 U.S.C. Section 107), you must obtain permission from The Georgian National Museum. We respect the intellectual property rights of others. If you believe that you own the copyright to the material made available on this site, please see our takedown policy: http://dcaa.hosting.nyu.edu/dscc/takedown-notice.",,,,,,,,,,,,,,Georgian,http://vocab.getty.edu/page/tgn/7016642,1.0
,,,,,The tomb in Merkheuli (1977).pdf,,15.1 MB,,,,The tomb in Merkheuli,,,,,"Baramidze, M.",,,,,,,,1977,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Site of ancient settlement at Pitsunda (1991).pdf,,45.7 MB,,,,Site of ancient settlement at Pitsunda,,,,,"Lordkipanidze, G.",,,,,,,,1991,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,An Astronomical Investigation of the Seventeen Hundred Year Old Nekresi Fire Temple in the Eastern Part of Georgia (2009).pdf,,1.1 MB,,,,An Astronomical Investigation of the Seventeen Hundred Year Old Nekresi Fire Temple in the Eastern Part of Georgia ,,,,,"Bakhtadze, N.; Ruggles, C.; Samsonia, I.",,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Iberia and Rome.pdf,,9.2 MB,,,,Iberia and Rome,,,,,"Furtwängler, A.; Gagoshidze, I.; Löhr, H.; Ludwig, N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA,Yes,,,,Archaeology Of The Roman Period Of Georgia (2014).pdf,dscc_000037.pdf,9.7 MB,,,book,Archaeology Of The Roman Period Of Georgia,,,,,"Gamqreliże, Gela",,,,Tbilisi,,Georgian National Museum,,2014,140,IBERIA-COLCHIS Supplement,,Georgia (nation),Excavations (Archaeology)--Georgia,,,"The Georgian National Museum has granted permission to the Institute for the Study of the Ancient World of New York University to publish this material electronically in the Digital South Caucasus Collection (DSCC). We are making such material available on a noncommercial basis for research and educational purposes, in an effort to expand access to thinly-held and/or out-of-print material related to the study of the ancient world to the widest possible audience. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use (Title 17 U.S.C. Section 107), you must obtain permission from The Georgian National Museum. We respect the intellectual property rights of others. If you believe that you own the copyright to the material made available on this site, please see our takedown policy: http://dcaa.hosting.nyu.edu/dscc/takedown-notice.",,,,,,,,,,,,,,English,http://vocab.getty.edu/page/tgn/7006653,1.0
,,,,,Archaeological Excavations in Old Tbilisi (2009).pdf,,3.5 MB,,,,Archaeological Excavations in Old Tbilisi,,,,,"Mindorashvili, D.",,,,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Archaeological Research upon One of the Earliest Georgian Christian Basilica (2014).pdf,,1.1 MB,,,,Archaeological Research upon One of the Earliest Georgian Christian Basilica,,,,,"Bakhtadze, N.",,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,The Results of Archaeological Research of the Rock-Cut Monuments in the Kvemo Kartli Region (Georgia) (2013).pdf,,2.6 MB,,,,The Results of Archaeological Research of the Rock-Cut Monuments in the Kvemo Kartli Region (Georgia),,,,,"Bakhtadze, N.",,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ceramics in the Medieval Georgia.pdf,,6.1 MB,854716643,,,Ceramics in the Medieval Georgia,,,,,"Bakhtadze, N.",,,,Tbilisi,Bakur Sulakauri,,,2013,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Areshi (1991).pdf,,53.2 MB,,,,Areshi,,,,,"Chilashvili, L.",,,,,,,,1991,,,,,,,,,,,,,,,,,,,,,,,,
TBA,Yes,,,,The Early Christian period Church complex from Dmanisi (2012).pdf,dscc_000036.pdf,35.3 MB,,,book,The Early Christian period Church complex from Dmanisi ,ადრექრისტიანული საეკლესიო  კომპლექსი დმანისიდან,,,,"Kakhiani, K.",,,,Tbilisi,,Georgian National Museum,,2012,203,,,Georgia (nation),Georgia (Republic)--History; Excavations (Archaeology)--Georgia (Republic),,,"The Georgian National Museum has granted permission to the Institute for the Study of the Ancient World of New York University to publish this material electronically in the Digital South Caucasus Collection (DSCC). We are making such material available on a noncommercial basis for research and educational purposes, in an effort to expand access to thinly-held and/or out-of-print material related to the study of the ancient world to the widest possible audience. If you wish to use copyrighted material from this site for purposes beyond those in accordance with fair use (Title 17 U.S.C. Section 107), you must obtain permission from The Georgian National Museum. We respect the intellectual property rights of others. If you believe that you own the copyright to the material made available on this site, please see our takedown policy: http://dcaa.hosting.nyu.edu/dscc/takedown-notice.",,,"Chanishvili, G.","Kopaliani, J.","Machabeli, K.","Aleksidze, Z.","Ghlighvashvili, E.","Pataridze, N.",,,,,,"Georgian, English",http://vocab.getty.edu/page/tgn/7006653,1.0
,,,,,Georgian Monastery of Gialia on Cyprus.pdf,,11.7 MB,,,,Georgian Monastery of Gialia on Cyprus,,,,,"Gagoshidze, G.; Gagoshidze, I.; Mindorashvili, D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Martirosyan_1964_full.pdf,,81.6 MB,19672635,,book,Armenii︠a︡ v ėpokhu bronzy i rannego zheleza,Армения в эпоху бронзы и раннего железа,,,,"Martirosi︠a︡n, A. A. (Aruti︠u︡n Artashesovich), 1921-1977","Мартиросян, А. А. 1921-1977.",,1977.0,Erevan,,Akademii nauk Armi︠a︡nskoĭ SSR,,1964,358,,,Armenia (nation),Excavations (Archaeology); Bronze age--Caucasus,,,,,,,,,,,,,,,,,Russian,http://vocab.getty.edu/page/tgn/7006651,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Oruzhie v kompleksakh kulʹtur nachala medno-bronzovogo veka (V-IV tysi͡acheletii͡a do n.ė.) : Ocherki voenizat͡sii drevnikh obshchstv po dannym arkheologii. Podunavʹe, i͡ug Vostochnoĭ Evropy, Kavkaz, Blizhniĭ Vostok = Weapons in the complexes of cultures dated back to the beginning of the copper-bronze age (V-IV millennium BC) : Essays on the militarization of ancient societies, according to archeology. Danube, South-Eastern Europe, the Caucasus, Near East","Оружие в комплексах культур начала медно-бронзового века (V-IV тысячелетия до н.э.) : Очерки военизации древних общств по данным археологии. Подунавье, юг Восточной Европы, Кавказ, Ближний Восток = Weapons in the complexes of cultures dated back to the beginning of the copper-bronze age (V-IV millennium BC) : Essays on the militarization of ancient societies, according to archeology. Danube, South-Eastern Europe, the Caucasus, Near East",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
